Question,Answer,Feedback,Final Score
"It is a natural process that animal species become extinct, as the dinosaurs did in the past. There is no reason for people to prevent this from happening.

To what extent do you agree or disagree?","It is commonly known that many species have gone extinct throughout history, including the dinosaurs. Some argue that preventing extinction is not necessary, as it is a natural process. However, I believe that humans have a moral obligation to protect endangered species and prevent their extinction. 

Firstly,
human activities such as deforestation, overfishing, and pollution have caused
a rapid decline in animal populations, leading many species to be at risk of
extinction. As a result, humans have a responsibility to conserve the
environment and prevent further harm to wildlife. It is unfair for humans to
cause the extinction of a species due to their actions, particularly when they
have the ability to prevent it.

Another
reason is that many species play a crucial role in maintaining the balance of
the ecosystem. For example, bees are essential pollinators that are responsible
for pollinating 80% of flowering plants, and thus if bees were to become
extinct, it would have a devastating impact on our food supply and ecosystem.
Similarly, the loss of predators can cause a ripple effect, leading to
overpopulation of other species and causing imbalances in the food chain.

Lastly,
preventing extinction is not only a matter of responsibility but also a matter
of morality. Species have intrinsic value, and it is not our place to determine
which species should exist and which should not. Humans must respect the
inherent value of all life forms and do what they can to protect them.

In
conclusion, while extinction may be a natural process, it is not a
justification for humans to sit idly by and watch as countless species go
extinct. By taking action to conserve the environment, humans can
ensure that future generations can enjoy the same diversity of life that we
have today.

","This extinction of animals essay would achieve a high IELTS band score.

It's organised well so would score highly for coherence and cohesion. It has a clear introduction that introduces the topics and then gives the writers opinion (the thesis statement).

Each body paragraph clearly sets out and explains a key idea, then the conclusion summarises the writers view and gives some final thoughts. The linking between sentences is also very good.

It has a clear opinion and that opinion is reflected in the response. The ideas are fully supported and explained. The question is fully addressed and the essay does not go off-topic. It would therefore score highly for task response. 

The essay also had a good range of high-level and accurate lexis and grammar, so it would also score well for those criteria.

",9.0
"Always telling the truth is the most important consideration in any relationship between people.

To what extent do you agree or disagree?","In any relationship, the importance of truthfulness is a topic that often sparks debates. While some argue that always telling the truth is the most crucial aspect, I believe that the significance of truthfulness should be considered in relation to other factors. 

Undoubtedly, honesty plays a vital role in fostering trust and building strong connections between people. When individuals are truthful with each other, it establishes a foundation of transparency and integrity. This creates a sense of security and allows for open communication, which is essential for healthy relationships.

However, it is essential to recognise that truthfulness is not an absolute concept and must be balanced with other considerations. In certain situations, revealing the complete truth can be harmful or unnecessary. For example, when delivering bad news, such as a terminal illness diagnosis, it is crucial to consider the emotional well-being of the recipient. While honesty should be prioritised, the delivery of information must be done with sensitivity.

Furthermore, maintaining trust in a relationship involves more than just truthfulness. In some cases, withholding the truth may be necessary to protect the well-being of the other person or the relationship itself. If, for instance, someone asks you about a new hairstyle they have, it could be damaging to the relationship to tell them you do not like it, so a white lie may be the best option to avoid hurting them. Thus factors such as respect, empathy, and understanding also contribute significantly.

In conclusion, while truthfulness is important in relationships, it should be considered in conjunction with other factors. Balancing truthfulness with empathy, sensitivity to the situation, and the overall well-being of the relationship is crucial and promotes healthier and more harmonious relationships.

","This truthfulness essay would achieve a high IELTS band score.

It has carefully considered the question and given a clear and coherent response to it. Although the writer agrees truthfulness is important, s/he explains how it's not this simple. It needs to be considered in its particular context and sometimes a lie might be the best choice to maintain a healthy relationship.

So if you get an agree / disagree question, look carefully to see if it's suggesting that something is the most important thing, or a similar phrase. You can then use this as the basis to think about other ideas for the essay.

Dying languages essays have appeared in IELTS on several occasions, an issue related to the spread of globalisation. Check out a sample question and model answer. 

Sample IELTS Writing: A common topic in IELTS is whether you think it is a good idea for government money to be spent on the arts. i.e. the visual arts, literary and the performing arts, or whether it should be spent elsewhere, usually on other public services.

Ban smoking in public places essay: The sample answer shows you how you can present the opposing argument first, that is not your opinion, and then present your opinion in the following paragraph.

Multinational Organisations and Culture Essay: Improve you score for IELTS Essay writing by studying model essays. This Essay is about the extent to which working for a multinational organisation help you to understand other cultures.

Human cloning essay - this is on the topic of cloning humans to use their body parts. You are asked if you agree with human cloning to use their body parts, and what reservations (concerns) you have.

A recent topic to write about in the IELTS exam was an Internet vs Newspaper Essay. The question was: Although more and more people read news on the internet, newspapers will remain the most important source of news. To what extent do you agree or disagree?

Airline Tax Essay for IELTS. Practice an agree and disagree essay on the topic of taxing airlines to reduce low-cost air traffic. You are asked to decide if you agree or disagree with taxing airlines in order to reduce the problems caused.

This technology development essay shows you a complex IELTS essay question that is easily misunderstood. There are tips on how to approach IELTS essay questions

Paying Taxes Essay: Read model essays to help you improve your IELTS Writing Score for Task 2. In this essay you have to decide whether you agree or disagree with the opinion that everyone should be able to keep their money rather than paying money to the government. 

Vegetarianism Essay for IELTS: In this vegetarianism essay, the candidate disagrees with the statement, and is thus arguing that everyone does not need to be a vegetarian. 

In this extinction of animals essay for IELTS you have to decide whether you think humans should do what they can to prevent the extinction of animal species.

This role of schools essay for IELTS is an agree disagree type essay where you have to discuss how schools should help children to develop.

Scientific research essay model answer for Task 2 of the test. For this essay, you need to discuss whether the funding and controlling of scientific research should be the responsibility of the government or private organizations.

Examinations Essay: This IELTS model essay deals with the issue of whether it is better to have formal examinations to assess student's performance or continual assessment during term time such as course work and projects.

Free university education Model IELTS essay. Learn how to write high-scoring IELTS essays. The issue of free university education is an essay topic that comes up in the IELTS test.  This essay therefore provides you with some of the key arguments about this topic.

This is an agree / disagree type question. Your options are:  1. Agree 100% 2. Disagree 100% 3. Partly agree. In the answer below, the writer agrees 100% with the opinion. There is an analysis of the answer.

Employing Older People Essay. Examine model essays for IELTS Task 2 to improve your score. This essay tackles the issue of whether it it better for employers to hire younger staff rather than those who are older.

IELTS sample essay about alternative and conventional medicine  - this shows you how to present a well-balanced argument. When you are asked whether you agree (or disagree), you can look at both sides of the argument if you want.

This essay discusses the topic of returning historical objects and artefacts to their country of origin. It's an agree/disagree type IELTS question.

Internet Essay for IELTS on the topic of the Internet and social interaction. Included is a model answer. The IELTS test usually focuses on topical issues. You have to discuss if you think that the Internet is damaging social interaction.

Any comments or questions about this page or about IELTS? Post them here. Your email will not be published or shared.

Would you prefer to share this page with others by linking to it?

""I think these eBooks are FANTASTIC!!! I know that's not academic language, but it's the truth!""

Linda, from Italy, Scored Band 7.5

Oct 26, 23 01:56 AM

Read More

Oct 25, 23 03:06 AM

Read More

Oct 24, 23 06:36 AM

Read More

IELTS WritingIELTS SpeakingIELTS Listening IELTS ReadingAll LessonsVocabularyAcademic Task 1Academic Task 2Practice Tests

Contact Us


Copyright Â© 2022- IELTSbuddy All Rights Reserved


IELTS is a registered trademark of University of Cambridge, the British Council, and IDP Education Australia. This site and its owners are not affiliated, approved or endorsed by the University of Cambridge ESOL, the British Council, and IDP Education Australia.

",9.0
"Some people think that the main goal of schools should be making children into responsible citizens and good workers, rather than benefitting them as individuals.

To what extent do you agree or disagree?","The role of schools in shaping the future generation has been a subject of debate for decades. While some argue that schools should primarily focus on moulding children into responsible citizens and productive workers, others claim that the individual development of students should take precedence. 

There is merit in the belief that schools should prioritise instilling qualities that contribute to aspects of citizenship and work. Good education plays a pivotal role in cultivating a sense of civic responsibility, fostering values such as honesty, empathy, and social awareness. Promoting these values is clearly desirable as they could perhaps reduce social issues, such as crime and anti-social behaviour. Moreover, a workforce consisting of diligent and productive individuals drives economic growth and prosperity, again an important benefit for all.

However, focusing solely on societal benefits neglects essential aspects of child development. Young children these days appear to be experiencing higher levels of mental health, such as depression and eating disorders, meaning it is critical to do what is necessary to help each child feel confident within themselves and able to cope with the world we live in today. Schools should, therefore, strive to create an environment that encourages self-discovery and personal growth. Furthermore, personal fulfilment leads to happier, more engaged citizens who are more likely to participate actively in society without schools having to specifically set out to achieve this.

In conclusion, while the goal of schools should indeed involve shaping responsible citizens and productive workers, this objective should not overshadow the significance of individual development. Balancing both aspects ensures that students not only contribute positively to society but also experience personal growth and fulfilment.

","This role of schools essay would achieve a high IELTS band score.

It would score well for Task Response as it clearly answers the question and in the case of this essay, considers both sides of the argument. Also, ideas are developed and explained and the essay has a clear opinion, which is consistent throughout.

Coherence and Cohesion are also very good as the message can be followed with ease, information is logically sequenced, and paragraphing is appropriate.

It has a wide range of high-level lexical resource, which is accurate and used flexibly. E.g.

Grammatical range and accuracy is also excellent, with grammar and punctuation used appropriately throughout.

IELTS sample essay about alternative and conventional medicine  - this shows you how to present a well-balanced argument. When you are asked whether you agree (or disagree), you can look at both sides of the argument if you want.

Paying Taxes Essay: Read model essays to help you improve your IELTS Writing Score for Task 2. In this essay you have to decide whether you agree or disagree with the opinion that everyone should be able to keep their money rather than paying money to the government. 

Free university education Model IELTS essay. Learn how to write high-scoring IELTS essays. The issue of free university education is an essay topic that comes up in the IELTS test.  This essay therefore provides you with some of the key arguments about this topic.

A recent topic to write about in the IELTS exam was an Internet vs Newspaper Essay. The question was: Although more and more people read news on the internet, newspapers will remain the most important source of news. To what extent do you agree or disagree?

In this extinction of animals essay for IELTS you have to decide whether you think humans should do what they can to prevent the extinction of animal species.

Scientific research essay model answer for Task 2 of the test. For this essay, you need to discuss whether the funding and controlling of scientific research should be the responsibility of the government or private organizations.

Ban smoking in public places essay: The sample answer shows you how you can present the opposing argument first, that is not your opinion, and then present your opinion in the following paragraph.

This technology development essay shows you a complex IELTS essay question that is easily misunderstood. There are tips on how to approach IELTS essay questions

Vegetarianism Essay for IELTS: In this vegetarianism essay, the candidate disagrees with the statement, and is thus arguing that everyone does not need to be a vegetarian. 

Sample IELTS Writing: A common topic in IELTS is whether you think it is a good idea for government money to be spent on the arts. i.e. the visual arts, literary and the performing arts, or whether it should be spent elsewhere, usually on other public services.

Employing Older People Essay. Examine model essays for IELTS Task 2 to improve your score. This essay tackles the issue of whether it it better for employers to hire younger staff rather than those who are older.

Internet Essay for IELTS on the topic of the Internet and social interaction. Included is a model answer. The IELTS test usually focuses on topical issues. You have to discuss if you think that the Internet is damaging social interaction.

Human cloning essay - this is on the topic of cloning humans to use their body parts. You are asked if you agree with human cloning to use their body parts, and what reservations (concerns) you have.

This essay discusses the topic of returning historical objects and artefacts to their country of origin. It's an agree/disagree type IELTS question.

This is an agree / disagree type question. Your options are:  1. Agree 100% 2. Disagree 100% 3. Partly agree. In the answer below, the writer agrees 100% with the opinion. There is an analysis of the answer.

Multinational Organisations and Culture Essay: Improve you score for IELTS Essay writing by studying model essays. This Essay is about the extent to which working for a multinational organisation help you to understand other cultures.

This truthfulness in relationships essay for IELTS is an agree / disagree type essay. You need to decide if it's the most important factor.

Airline Tax Essay for IELTS. Practice an agree and disagree essay on the topic of taxing airlines to reduce low-cost air traffic. You are asked to decide if you agree or disagree with taxing airlines in order to reduce the problems caused.

Dying languages essays have appeared in IELTS on several occasions, an issue related to the spread of globalisation. Check out a sample question and model answer. 

Examinations Essay: This IELTS model essay deals with the issue of whether it is better to have formal examinations to assess student's performance or continual assessment during term time such as course work and projects.

Any comments or questions about this page or about IELTS? Post them here. Your email will not be published or shared.

Would you prefer to share this page with others by linking to it?

""I think these eBooks are FANTASTIC!!! I know that's not academic language, but it's the truth!""

Linda, from Italy, Scored Band 7.5

Oct 26, 23 01:56 AM

Read More

Oct 25, 23 03:06 AM

Read More

Oct 24, 23 06:36 AM

Read More

IELTS WritingIELTS SpeakingIELTS Listening IELTS ReadingAll LessonsVocabularyAcademic Task 1Academic Task 2Practice Tests

Contact Us


Copyright Â© 2022- IELTSbuddy All Rights Reserved


IELTS is a registered trademark of University of Cambridge, the British Council, and IDP Education Australia. This site and its owners are not affiliated, approved or endorsed by the University of Cambridge ESOL, the British Council, and IDP Education Australia.

",9.0
"Some people think that the best way to reduce crime is to give longer prison sentences. Others, however, believe there are better alternative ways of reducing crime. Discuss both views and give your opinion.","Crime is a serious and growing problem in most societies. Although many people believe that the best way to tackle this is to place people in prison for longer periods, others are of the opinion that other measures will be more effective.

There are benefits of giving offenders longer prison sentences. Firstly, spending a long time in prison provides an opportunity for the prison services to rehabilitate a prisoner. For example, someone who has committed a serious offence such as assault will need a long time in prison in order to be sure they can be re-educated not to re-offend. In addition to this, longer prison sentences will act as a deterrent for someone who is thinking of committing a crime. 

However, some people argue that leaving people in prison for a long time means that they will mix with other criminals and so their character will not improve. One alternative is community service. This gives an offender the opportunity to give something positive back to society, and so it may improve their character. Also, the government could focus its resources on the causes of crime, which would lead to less crime in the future. 

In my opinion, it is important to look at alternative methods. Many countries have lengthy prison sentences, but crime has continued to increase throughout the world, so it is clear that this is not completely effective. That said, long prison sentences should remain for those who commit serious crimes such as assault or murder, as justice for the victim and their family should take priority. 

To conclude, there are good arguments for and against long sentences, so governments must continue to research the various methods of crime reduction to ensure effective policies are in place.

","The writer of this essay has produced a well balanced and coherent piece of writing.

They clearly answer the question. The first body paragraph is dedicated to discussing the merits of long sentences, and the second body looks at alternative methods. Finally, the writer provides their own opinion on the issue.

Very important for IELTS essays, each paragraph has a clear central topic which is expanded upon in the supporting sentences.

Regarding grammar, the writer has successfully demonstrated their ability to use a mix of sentence structures, including a variety of complex sentences (although... someone who... in order to... means that... which would...). 

Ideas are coherently presented by using transition words (Firstly,... For example,... In addition to this,... However, .... In my opinion,... To conclude,...).

It is important in IELTS essays to have good topic related vocabulary in order to achieve a higher score, and this is evident in this piece of work (re-offend... rehabilitate... re-educated... deterrent... committing a crime...).

Also of importance with regards to vocabulary is to vary your word choices and not to repeat the same word. This can be done by using synonyms, as the writer has done with the word alternative 'ways', using variations of this (methods... measures...).

",8.5
"Some people think that the main factors influencing a child’s development these days are things such as television, friends, and music. Others believe that the family still remains more important. Discuss both opinions and give your opinion.","While parents obviously play a major role in the way that their child develops as they get older, many people believe that social factors outside of the family now influence children much more. This essay will examine both sides of the argument. 

There is no doubt that there are factors external to the family that significantly impact on a child's development.  For example, there is television and the internet. Children these days have access to these much more than they used to in the past, and they will pick up language and see things that will teach them about life. Friends also have an important influence as a child will often copy peers that they admire and respect. This could be positive behaviour but it could also be negative, such as smoking or taking drugs. 

Ultimately, however, it is family who have the most important impact. Children spend nearly all of their time with their family, especially in their early years. They develop their confidence, socialisation skills, morals, values and views on life through their interaction with them. Proof of the importance of this can be seen in the differences between some children. Those that grow up in a dysfunctional home often eventually have problems themselves, whilst those that are brought up in a warm and close environment end up more confident and secure in adult life.

To conclude, it is the family that can provide a supportive, secure, and nurturing environment, which is crucial to the way in which a child becomes an adult. Although it is clear that social factors play a part, I would argue that it is the former that is the most important. 

","The child development essay has a good introduction that clearly sets out what the two opposing opinions are (this is done by paraphrasing the question).

The thesis sentence (last sentence of the introduction) then clearly states what will be in the essay - a discussion of the two opinions.

The body paragraphs are coherent - each one clearly discusses one of the opinions. Topic sentences have also been used effectively in each body paragraph to identify the topic and controlling idea:

There is no doubt that there are factors external  to the family that significantly impact on a child's development. 

Ultimately, however, it is family who have  the most important impact. 

Note the use of 'however' to show that a contrasting opinion is to be given. This gives the writing  coherence. 

The topic sentence of the second body paragraph also makes it clear that this other side of the argument is also the writers opinion. 

There is some good topic related vocabulary. For example:

peers; socialisation skills; dysfunctional home; supportive;  secure;  nurturing

There are a mix of complex sentences in the child development essay. For example:

While parents obviously play a major role...

There is no doubt that...

Friends also have an important  influence as...

Ultimately, however, it is family who...

...whilst those that are brought up...

Although it is clear that...

The candidates  opinion is made clear in the second body paragraph, but the candidate clearly clarifies it in the conclusion and also summarises the main ideas of the essay again.

",8.5
Discuss both views and give your opinion.,"An increasing concern for many governments around the world is the declining health of their citizens due to a poor diet. While some people believe governments should be responsible for improving the health of their nation, others believe it is up to the individual. This essay will examine both sides of the argument. 

There is no doubt that individuals must take some responsibility for their diet and health. The argument to support this is the fact that adults have free will and make their own choices about what they eat and the exercise that they do. Children are also becoming less healthy. However, their parents are the ones who provide their evening meals so it is their responsibility to ensure these meals are nutritious and encourage them to avoid junk food and sugary snacks during the day. 

Despite these arguments, there is also a case for advocating the intervention of the state. People these days often have little choice but to depend on fast food or ready meals that are high in sugar, salt and fat due to the pressures of work. Governments could regulate the ingredients of such food. Some governments also spend huge amounts of tax money on treating health problems of their citizens in hospitals. It would be logical to spend this on preventative measures such as campaigns to encourage exercise and a good diet. 

Having considered both sides of the issue, I would argue that although individuals must take ultimate responsibility for what they eat, governments also have a role to play as only they can regulate the food supply, which openly encourages a poor diet. It is only through this combination that we can improve people's health. 

","The IELTS diet and health essay has a number of good points which would means it would score highly in the test. 

The introduction clearly introduces the topic and sets out both sides of the issue. There is then a clear thesis statement to explain what the essay will do:

This essay will examine both sides  of the argument.

Coherence and cohesion are evident from the topic sentences which make the subject of each paragraph very clear:

There is no doubt that individuals must  take some responsibility for their diet and health. 

Despite these arguments, there is also a  case for advocating the intervention of the state.

Transitional phrases and words also guide the reader through the essay. For example:

The argument to support  this is... 

Children are also becoming less  healthy. 

However, their parents...

Despite these arguments, there is also...

Some governments also spend...

Having considered both sides of the issue, 

The conclusion summarises the writers opinion very clearly. It is always important to make it very clear what your opinion is if it is an opinion essay (you could put your opinion in the introduction too if you wish). 

The grammar and vocabulary are appropriate, with a mix of complex sentences and topic related vocabulary. 

The content of the essay is also appropriate. It clearly addresses both opinions and provides a number of points to support each argument. The ideas are clearly explained and will not cause any misunderstanding for someone reading the essay.

",8.0
Some working parents think that childcare centres  provide the best care for children who are still too young to go to school. Other  working parents think that family members such as grandparents will be better  carers for their children.Discuss both views and give your opinion.,"Although it is common for parents these days to
place their children that are pre-school age into childcare centres, some
people criticise this and argue that children will receive a better level of
care from relatives such as grandparents. Personally, I would argue that the
best choice is to send children to a childcare centre.




Those that support care through grandparents cite
several reasons for this. Firstly, they claim that this is the safest option
due to the fact that they are family members so they can be trusted at all
times to put the health and safety of the child first. Another important
consideration is costs. Parents will have to pay to place their children in a
childcare centre, and with the financial burdens that families face these days,
using relatives to care for children would be a considerable cost saving.  

Despite these benefits, there are clear advantages of using professional carers. First and foremost, staff members at most centres are fully trained in early
childhood education so they understand child development and will be able to
nurture the child's growing skills in the best way. Not only this, since there are a mix
of instructional activities during the day such as painting, singing, and
storytelling, children's creativity and learning will be developed. Last
but not least, children can benefit from the opportunity to socialize with
other children, which they might not get to do with a relative caring for them
at home. 

To conclude, I am of
the opinion that the advantages of using childcare facilities to look after
pre-school children clearly outweigh the benefits of using relatives. This is because the environment
they are brought up in will result in children who are well-educated,
creative and sociable.

","This childcare essay would achieve a high IELTS for the following reasons. 

Task Response

The question has been fully answered. The writer has clearly provided their opinion. This can be seen in:

The two opinions have also been discussed. The first opinion in body paragraph 1 and the second opinion in body paragraph 2.

Coherence and Cohesion

The childcare essay is well-organised and structured. 

There is a good introduction that introduces the topic and clearly identifies the two arguments. The writer then gives their opinion (this can be left until the conclusion but it can be a good idea to present it upfront so no confusion arises). 

A topic sentence introduces the main idea of the first body paragraph:

Two supporting arguments are then provided.

Then another sentence clearly introduces the next argument (which is also the writer's opinion):

Three supporting arguments are then provided.

Transitions, transitional phrases, and conjunctions are also used well to lead the reader through the arguments and link ideas, such as Firstly; Another important consideration is; Despite these benefits; Last but not least; and; thus; although etc.

There is also good use of referencing to avoid repeating nouns or other phrases. For example: ""...some people critisise this and...""

Vocabulary

There is a good mix of accurate vocabulary (some of which is topic-related), such as important consideration; financial burdens; professional carers; nurture; instructional activities; socialize.

Importantly, words are correctly collocated. There is no point putting in high-level vocabulary if you do not know which words they collocate with or which word forms to use. 

Grammatical Range and Accuracy

The grammar is accurate with few if any mistakes and there are a range of sentence types and a mix of complex structures. For example:

",8.0
Some people prefer to provide help and support directly to those in need. Others however prefer to give money to national and international charitable organisations.Discuss both these views and give your own opinion.,"Giving money to those in need can be a personally satisfying experience, but there is a choice between donating nationally and internationally through charities or giving directly to those around you. This essay will consider the merits of both approaches. 

The first advantage of providing direct support is that you can know exactly how your money is being spent. For example, if you give money directly to people in your local village or town, you can see where it has gone. When you donate to larger charitable organisations, on the other hand, you are not sure how much will actually be given to those in need as opposed going on other costs such as administration and expensive marketing campaigns. Another benefit is that you can see the impacts on those you are helping, which can lead not only to great personal satisfaction but also to respect from others in the local community who appreciate the work you do.

There are advantages, however, in giving to charities that are national and international. First and foremost there is the choice of good causes. Locally the kinds of places to help may be limited, but in larger organisations you can get involved in such activities as sponsoring a child or conserving wildlife. Not only this, donating to larger charities with an international reach means having the knowledge that you are involved in issues of fundamental global importance, such as curing diseases and human rights, or helping those caught up in tragic environmental events, such as flooding, earthquakes and famines. 

In conclusion, given the benefits of both, I would argue that an individual should make their own choice based on their personal preferences and whichever provides them with the most personal satisfaction. What is crucial is that we continue to give to those who are more in need than ourselves. 

","This donating money to charity essay should achieve a high IELTS score in the test for a number of reasons. 

Firstly the introduction opens by letting the reader know what the topic is and the two sides of the argument under consideration. 

This is then followed by a clear thesis statement to clarify what the essay is going to do. 

Coherence and cohesion are good because it's very easy to read and follow the arguments in each paragraph and to see clearly that each body paragraph has one controlling idea i.e.

Transitional phrases and words are also used well to guide the user through the ideas:

The conclusion gives the writer's opinion very clearly.

The essay also has a wide range of grammatical structures and a high level of grammatical accuracy. 

",8.5
Some people think that zoos are all cruel and should be closed down. Others however believe that zoos can be useful in protecting wild animals. Discuss both opinions and give your own opinion.,"Zoos remain popular
places for people to visit for entertainment and to learn about wild animals.
Although some people are of the opinion that zoos can provide a sanctuary for
endangered animals and so should be kept open, I believe that the
cruelty that animals suffer outweighs this benefit, and that they should be
shut down.




These days, animals are under
threat from humans in many ways, seen for example in the way that their
habitats are being destroyed through the cutting down of rain forests, or
through poaching. Following on from this, the argument is that zoos can protect some of these animals that are under threat. The reason is that they are in a safe environment managed by trained staff who can ensure the animals are looked after and can produce offspring. There are examples of successes in this respect, such as with Pandas, which have been endangered for many years but have been protected.

However, there are more convincing arguments for why zoos should be shut down. Firstly, even though some species are under threat, there are lots of animals which do not fall into this category and who are there just for the entertainment of visitors. While it may be fun and educational to see them, animals are not meant to be caged, and their distress can often be seen in the way many of them pace back and forwards all day. Not only this, if the prime reason of zoos is to protect animals, this could be done in other environments such as wild life parks where the animals have more freedom.

In conclusion, animals should be protected but this does not have to be in zoos. Zoos are cruel to animals, not similar enough to their natural habitat, and they should be closed down. 

","Band scores are given for task response, coherence and cohesion, lexis (vocabulary) and grammatical range and accuracy. 

This zoo essay would get a good score for task response as it fully answers the question by discussing both opinions and giving a personal opinion. Ideas are also well explained, extended and supported. 

It would get a good score for coherence and cohesion as it is organised coherently and logically and is easy to follow. The introduction introduces the topic then there is a thesis statement.

One body paragraph discusses one side of the argument, and the other discusses the other side. The second body paragraph is also the writers opinion, and this is summarised again in the conclusion

There is some interesting vocabulary and phrases.

There are also some good complex grammatical constructions and the grammar is precise. For example, the red words show that some of these are adverbial clauses, noun clauses and relative clauses:

",9.0
"Some people think that in the modern world we are more dependent on each other, while others think that people have become more independent.Discuss both views and give your own opinion.","It has always been the case that in certain ways our lives are intertwined with the lives of others. However, in the modern era, some people believe that dependency between people has increased, whereas others believe that people have grown to be more independent. 

One reason that people think we are more dependent on each other is because of our reliance on others to provide a positive image of ourselves. People are bombarded these days with pictures of beautiful models and people who seem to have perfect lives. Many people therefore feel the need to go on social media, such as Facebook and Instagram, in order to post pictures and they need others to get as many âlikes' as possible.  In addition to this, because of the hectic and busy lives some families lead, it is argued they are dependent on others to support them, such as with grandparents helping to take care of their grandchildren because the parents don't have time. 

However, despite this, overall I believe that people are generally more independent. This can be seen in the way that so many people live away from their families and lead their own lives. For example, families used to live nearby to each other, but nowadays people often reside in different cities to their parents and siblings or in other countries, seeing each other only rarely in some cases. Not only this, people prefer more privacy than in the past and do not require help from others, seen in the way that neighbours these days often do not know each other or interact at all.

In conclusion, although in certain ways people are more dependent, it is generally the case that people now live more independent lives. Only over time will it be revealed as to whether this is a positive or negative development for society.  

","So that is the best way to answer a question like that. 

You must make sure that you clearly discuss each opinion so it's best to just discuss each one within a separate body paragraph. 

It is a difficult question but don't spend too long thinking of the best ideas as the key is in the way you present and organise them.

",8.0
"Some people think that formal education should start for children as early as possible, while others think that it should not start until 7 years of age.Discuss both views and give your opinion.","While some people are of the opinion that the optimum time for children to begin their formal education is as soon as possible, others disagree and believe that it should not commence until they are aged 7. Personally, I believe that later is better. 

Those who argue for beginning earlier base this on several reasons. Firstly, they believe that the earlier a child starts to learn, the better their intelligence will be. This is because they will have a head-start over those starting later who will fall behind. Another reason is that children will learn to be competitive, independent, and motivated as they aim to get the best scores and to complete their homework on their own. These are strong arguments in a world which these days rewards the highest achievers with the best jobs. 

Despite these arguments, I believe starting at age 7 is the right choice. This is due to the fact that over-burdening them with academic study and trying to beat others simply leads to stress. This is not a good situation for the very young, who should be encouraged to enjoy their lives not compete with their peers. Also focusing on play-based programmes at home or elsewhere develops cognitive abilities most effectively. For example, in countries such as Sweden and Finland children start formal education later and they have shown better schooling results than many other countries. Thus, there is clear evidence of its benefits.

In conclusion, I think that children should start school later because they can learn more through play-based activities than formal education. Formal education at an early age simply leads to stress and does not help children achieve higher grades long-term.

","This formal and informal education essay for IELTS would score well as it answers the question, discussing both the opinions, with the writer also giving their own opinion.

It is a clearly organised essay, with each body paragraph based around one central idea. There is also a good mix of vocabulary and grammar, used correctly and accurately. 

",9.0
"Some people believe that scientists have the greatest influence on the world.  Other people, however, think that the influence of politicians is greater. Discuss both these views and give your own opinion.","In today's interconnected world, influence is key in shaping and reshaping the world. Many people consider politicians as those who have much sway over the general direction of society. But there are those who think scientists are the true driving force.

As the leaders of their respective nations, politicians influence the world by creating laws to govern their people. Such laws affect how their people act, how they live, and possibly even how they think. Furthermore, politicians also influence the nations around them as their actions may help countries or pull them down. That is why many pay attention to the rhetoric and actions of powerful leaders since these affect the policies of the world.

However, others believe scientists are more influential. This is primarily because the world is what it is because of what scientists have already created, seen for example in the way that people can circle the globe in less than a day and contact loved ones instantly because of high-tech devices. Another reason is that much of what the world will become depends upon the ongoing work of scientists. Issues like climate change, resource sustainability, and vaccines for pandemics can only be resolved by these scientists. So what they are doing now and what they will continue to do in the future will greatly affect the world.

Between the two, I believe that politicians have more influence. Although I acknowledge that scientific contributions have truly changed our way of life, politicians are still directly affecting people daily because of their policies. In fact, politicians often influence what scientists research as the government usually has a hand in many key research projects, especially those that may revolutionise how people live. 

In conclusion, even if scientists are working toward solutions, politicians are still the ones directing which problems to solve and who should first benefit from the results. Therefore, the true power is in the politicians' hands.

","This influence of scientists and politicians essay for IELTS would score well as it covers both opinions and the writer also gives their opinion.

It would also score highly as it discusses the issue in-depth, with good support and examples given.

If you are a weaker candidate you may struggle to write 318 words so you should keep it shorter as quality is more important than quantity.

For instance, the writers opinions could be shortened and simply included as part of the conclusion. This would be quicker and take fewer words. 

The essay also has a range of grammatical structures and is accurate. There is good use and range of vocabulary, some of it topic-related vocabulary.
",8.0
